EPIC,Name,Sector
ADM,Admiral Group,Insurance
AAL,Anglo American,Metals & Mining
ANTO,Antofagasta Holdings,Metals & Mining
AHT,Ashtead Group plc,Professional & Commercial Services
ABF,Associated British Foods plc,Food & Tobacco
AZN,AstraZeneca plc,Pharmaceuticals
AUTO,Auto Trader Group plc,Software & IT Services
AVV,AVEVA Group plc,Software & IT Services
AV.,Aviva plc,Insurance
BA.,BAE Systems plc,Aerospace & Defense
BARC,Barclays plc,Banking Services
BDEV,Barratt Developments plc,Homebuilding & Construction Supplies
BKG,Berkeley Group Holdings plc,Homebuilding & Construction Supplies
BHP,BHP Group Plc,Metals & Mining
BP.,BP Plc,Oil & Gas
BATS,British American Tobacco plc,Food & Tobacco
BLND,British Land Co plc,Residential & Commercial REITs
BT.A,BT Group plc,Telecommunications Services
BNZL,Bunzl plc,Diversified Industrial Goods Wholesalers
BRBY,Burberry Group plc,Specialty Retailers
CCL,Carnival plc,Hotels & Entertainment Services
CNA,Centrica plc,Multiline Utilities
CCH,Coca-Cola HBC AG,Beverages
CPG,Compass Group plc,Hotels & Entertainment Services
CRH,CRH plc,Construction Materials
CRDA,Croda International plc,Chemicals
DCC,DCC plc,Oil & Gas
DGE,Diageo plc,Beverages
EVR,Evraz plc,Metals & Mining
EXPN,Experian Plc,Professional & Commercial Services
FERG,Ferguson plc,Homebuilding & Construction Supplies
FLTR,Flutter Entertainment,Hotels & Entertainment Services
FRES,Fresnillo,Metals & Mining
GSK,GlaxoSmithKline plc,Pharmaceuticals
GLEN,Glencore plc,Coal
HLMA,Halma plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HL.,Hargreaves Lansdown plc,Investment Banking & Investment Services
HIK,Hikma Pharmaceuticals,Pharmaceuticals
HSX,Hiscox Ltd,Insurance
HSBA,HSBC Holdings plc,Banking Services
IMB,Imperial Brands Group,Food & Tobacco
INF,Informa plc,Media & Publishing
IHG,InterContinental Hotels Group plc,Hotels & Entertainment Services
IAG,International Consolidated Airlines Group SA,Passenger Transportation Services
ITRK,Intertek Group plc,Professional & Commercial Services
ITV,ITV plc,Media & Publishing
JD.,JD Sports Fashion plc,Specialty Retailers
JMAT,Johnson Matthey Plc,Chemicals
KGF,Kingfisher,Specialty Retailers
LAND,Land Securities Group plc,Residential & Commercial REITs
LGEN,Legal & General Group plc,Investment Banking & Investment Services
LLOY,Lloyds Banking Group plc,Banking Services
LSE,London Stock Exchange Group plc,Investment Banking & Investment Services
MNG,M&G plc,Investment Banking & Investment Services
MGGT,Meggitt,Aerospace & Defense
MRO,Melrose Industries plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
MNDI,Mondi Plc,Containers & Packaging
MRW,Morrison (Wm) Supermarkets,Food & Drug Retailing
NG.,National Grid,Multiline Utilities
NXT,Next plc,Specialty Retailers
NMC,NMC Health Plc,Healthcare Providers & Services
OCDO,Ocado Group plc,Diversified Retail
PSON,Pearson plc,Media & Publishing
PSN,Persimmon plc,Homebuilding & Construction Supplies
PHNX,Phoenix Group Holdings Plc,Insurance
POLY,Polymetal International plc,Metals & Mining
PRU,Prudential plc,Insurance
RB.,Reckitt Benckiser Group Plc,Personal & Household Products & Services
REL,RELX plc,Professional & Commercial Services
RTO,Rentokil Initial Plc,Professional & Commercial Services
RMV,Rightmove plc,Software & IT Services
RIO,Rio Tinto plc,Metals & Mining
RR.,Rolls Royce Holdings Plc,Aerospace & Defense
RBS,Royal Bank of Scotland Group plc,Banking Services
RDSa,Royal Dutch Shell Plc A Shares,Oil & Gas
RDSb,Royal Dutch Shell Plc B Shares,Oil & Gas
RSA,RSA Insurance Group,Insurance
SGE,Sage Group plc,Software & IT Services
SBRY,Sainsbury (J) plc,Food & Drug Retailing
SDR,Schroders plc,Investment Banking & Investment Services
SMT,Scottish Mortgage Investment Trust,Collective Investments
SGRO,Segro Plc,Residential & Commercial REITs
SVT,Severn Trent Plc,Water & Related Utilities
SN.,Smith & Nephew plc,Healthcare Equipment & Supplies
SMDS,Smith (DS),Containers & Packaging
SMIN,Smiths Group Plc,Industrial Conglomerates
SKG,Smurfit Kappa Group Plc,Containers & Packaging
SPX,Spirax-Sarco Engineering plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
SSE,SSE plc,Electric Utilities & IPPs
STJ,St James's Place Plc,Investment Banking & Investment Services
STAN,Standard Chartered plc,Banking Services
SLA,Standard Life Aberdeen Plc,Investment Banking & Investment Services
TW.,Taylor Wimpey plc,Homebuilding & Construction Supplies
TSCO,Tesco plc,Food & Drug Retailing
TUI,TUI AG,Hotels & Entertainment Services
ULVR,Unilever plc,Personal & Household Products & Services
UU.,United Utilities Group Plc,Water & Related Utilities
VOD,Vodafone Group plc,Telecommunications Services
WTB,Whitbread plc,Hotels & Entertainment Services
WPP,WPP plc,Media & Publishing
